RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
is imitation of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20195,"bf:derivativeOf <P20195value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20195value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is parody of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20196,"bf:derivativeOf <P20196value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20196value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is finding aid for expression RDA 24.5,http://rdaregistry.info/Elements/e/P20197,"bf:findingAidOf <P20197value> .
# with literal value
bf:findingAidOf [ a bf:Work;
   rdfs:label ""P20197value"" ] .","findingAidOf
or
findingAidOf >> Work > rdfs:label"
is replacement in part of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20198,"bf:replacementOf <P20198value> .
# with literal value
bf:replacementOf  [ a bf:Work ;
   rdfs:label ""P20198value"" ] .","replacementOf*
or
replacementOf >> Work > rdfs:label"
is replacement of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20199,"bf:replacementOf <P20199value> .
# with literal value
bf:replacementOf  [ a bf:Work ;
   rdfs:label ""P20199value"" ] .","replacementOf*
or
replacementOf >> Work > rdfs:label"
is split into expression RDA 24.5,http://rdaregistry.info/Elements/e/P20200,"bf:splitInto <P20200value> .
# with literal value
bf:splitInto [ a bf:Work ;
   rdfs:label ""P20200value"" ] .","splitInto*
or
splitInto >> Work > rdfs:label"
is merger of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20201,"bf:mergerOf <P20201value> .
# with literal value
bf:mergerOf [ a bf:Work ;
   rdfs:label ""P20201value"" ] .","mergerOf*
or
mergedOf >> Work > rdfs:label"
has derivative expression RDA 24.5,http://rdaregistry.info/Elements/e/P20203,"bf:hasDerivative <P20203value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
   rdfs:label ""P20203value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label"
is based on expression RDA 24.5,http://rdaregistry.info/Elements/e/P20204,"bf:derivativeOf <P20204value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20204value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
has related expression of expression,http://rdaregistry.info/Elements/e/P20205,"bf:relatedTo <P20205value> .
# with literal value
bf:relatedTo [ a bf:Work ;
   rdfs:label ""P20205value"" ] .","relatedTo*
or
relatedTo >> Work > rdfs:label
"
