RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
is replaced in part by work (RDA 24.5),http://rdaregistry.info/Elements/w/P10021,"bf:replacedBy <P10021value> .
# with literal value
bf:replacedBy [ a bf:Work ;
rdfs:label ""P10021value"" ] .","replacedBy*
or
replacedBy >> Work > rdfs:label"
is replaced by work (RDA 24.5),http://rdaregistry.info/Elements/w/P10022,"bf:replacedBy <P10022value> .
# with literal value
bf:replacedBy [ a bf:Work ;
rdfs:label ""P10022value"" ] .","replacedBy*
or
replacedBy >> Work > rdfs:label"
is adapted in verse as work (RDA 24.5),http://rdaregistry.info/Elements/w/P10023,"bf:hasDerivative <P10023value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P10023value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
has coordinates of cartographic content (RDA 7.4),http://rdaregistry.info/Elements/w/P10024,"bf:cartographicAttributes [ a bf:Cartographic ;
   bf:coordinates ""P10024value"" ] .",cartographicAttributes >> Cartographic > coordinates
is adapted as motion picture work (RDA 24.5),http://rdaregistry.info/Elements/w/P10025,"bf:hasDerivative <P10025value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P10025value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
has cadenza work (RDA 24.5),http://rdaregistry.info/Elements/w/P10026,"bf:accompaniedBy <P10026value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
rdfs:label ""P10026value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label
"
is variations based on work (RDA 24.5),http://rdaregistry.info/Elements/w/P10027,"bf:derivativeOf <P10027value> .
# with literal value
bf:derivativeOf [a bf:Work ;
   rdfs:label ""P10027value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is modified by variation as work (RDA 24.5),http://rdaregistry.info/Elements/w/P10028,"bf:hasDerivative <P10028value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P10028value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
is cadenza composed for work (RDA 24.5),http://rdaregistry.info/Elements/w/P10029,"bf:accompanies <P10029value> .
# with literal value
bf:accompanies [ a bf:Work ;
rdfs:label ""P10029value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label
"
is libretto for work (RDA 24.5),http://rdaregistry.info/Elements/w/P10030,"bf:accompanies <P10030value> .
# with literal value
bf:accompanies [ a bf:Work ;
rdfs:label ""P10030value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label
"
has incidental music work (RDA 24.5),http://rdaregistry.info/Elements/w/P10031,"bf:accompaniedBy <P10031value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
rdfs:label ""P10031value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label
"
is remade as work (RDA 24.5),http://rdaregistry.info/Elements/w/P10032,"bf:hasDerivative<P10032value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P10032value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
is set to music as work (RDA 24.5),http://rdaregistry.info/Elements/w/P10033,"bf:hasDerivative <P10033value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
rdfs:label ""P10033value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
is adapted as novel work (RDA 24.5),http://rdaregistry.info/Elements/w/P10034,"bf:hasDerivative <P10034value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P10034value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
has appellee person (RDA 18.5),http://rdaregistry.info/Elements/w/P10035,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/ape> ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P10035value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/ape> ;
   bf:agent <P10035value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/ape> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/ape>"
has medium (RDA 18.5),http://rdaregistry.info/Elements/w/P10036,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/med> ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P10036value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/med> ;
   bf:agent <P10036value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/med> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/med>"
has degree supervisor (RDA 18.5),http://rdaregistry.info/Elements/w/P10041,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/dgs> ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P10041value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/dgs> ;
   bf:agent <P10041value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/dgs> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dgs>"
has appellant person (RDA 18.5),http://rdaregistry.info/Elements/w/P10042,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/apl> ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P10042value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/apl> ;
   bf:agent <P10042value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/apl> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/apl>"
